NAME OF ISSUER,TITLE OF CLASS,CUSIP,VALUE (x$1000),SHRS OR PRN AMT,SH/PRN,PUT/CALL,INVESTMENT DISCRETION,OTHER MANAGER,SOLE,SHARED,NONE
AGL ENERGY LTD-SPON ADR,ADR,1201201,"1,273","170,931",SH,,SOLE,,"145,485",0,"25,446"
AGNC INVESTMENT CORP,REIT,00123Q104,"18,645","1,112,448",SH,,SOLE,,"1,047,003",0,"65,444"
AGNICO-EAGLE MINES LTD,Common Stock,8474108,"11,645","201,443",SH,,SOLE,,"191,782",0,"9,662"
AGORA INC-ADR,ADR,00851L103,"1,211","24,092",SH,,SOLE,,"23,385",0,707
AGREE REALTY CORP COM REIT,REIT,8492100,"9,462","140,576",SH,,SOLE,,"124,325",0,"16,251"
AGRICULTURAL BK CHINA ADR,ADR,00850M102,"5,398","537,604",SH,,SOLE,,"522,825",0,"14,779"
AIA GROUP LTD,Common Stock,Y002A1105,269,"21,962",SH,,SOLE,,"6,315",0,"15,647"
AIA GROUP LTD SPONSORED ADR,ADR,1317205,"159,687","3,252,944",SH,,SOLE,,"2,842,162",0,"410,782"
AIR FRANCE KLM SPONSORED ADR,ADR,9119108,224,"37,424",SH,,SOLE,,"37,424",0,0
AIR LEASE GROUP,Common Stock,00912X302,"12,342","251,881",SH,,SOLE,,"205,055",0,"46,825"
AIR LIQUIDE ADR,ADR,9126202,"70,671","2,163,173",SH,,SOLE,,"1,809,916",0,"353,257"
AIR PRODUCTS & CHEMICALS INC,Common Stock,9158106,"286,187","1,017,227",SH,,SOLE,,"778,476",0,"238,751"
AIR TRANSPORT SERVICES GROUP I,Common Stock,00922R105,974,"33,302",SH,,SOLE,,"16,908",0,"16,394"
AIRBNB INC-CLASS A,Common Stock,9066101,"3,983","21,192",SH,,SOLE,,"20,395",0,797
AIRBUS GROUP NV,ADR,9279100,"63,075","2,221,748",SH,,SOLE,,"1,703,727",0,"518,021"
AIRPORTS OF THAILAND PCL-ADR,ADR,00950R100,"1,237","55,040",SH,,SOLE,,"49,181",0,"5,859"
AISIN SEIKO CO LTD-UNSP ADR,ADR,00956Q106,225,"5,855",SH,,SOLE,,"4,592",0,"1,263"
AJINOMOTO INC UNSPON ADR,ADR,9707100,"3,645","176,281",SH,,SOLE,,"158,815",0,"17,466"
AKAMAI TECHNOLOGIES INC,Common Stock,00971T101,"62,933","617,593",SH,,SOLE,,"547,837",0,"69,756"
AKBANK TAS - ADR,ADR,9719501,257,"210,704",SH,,SOLE,,"203,799",0,"6,905"
AKEBIA THERAPEUTICS COM,Common Stock,00972D105,658,"194,497",SH,,SOLE,,"109,924",0,"84,573"
AKERO THERAPEUTICS INC,Common Stock,00973Y108,254,"8,772",SH,,SOLE,,"5,942",0,"2,830"
AKOUSTIS TECHNOLOGIES INC,Common Stock,00973N102,503,"37,730",SH,,SOLE,,"34,515",0,"3,215"
AKTIEBOLAGETT ELECTROLUX SPONSORED ADR,ADR,10198208,"10,170","181,773",SH,,SOLE,,"161,641",0,"20,132"
AKZO NOBEL NV SPONSORED ADR,ADR,10199503,"25,928","692,350",SH,,SOLE,,"412,111",0,"280,239"
ALAMO GROUP INC,Common Stock,11311107,"3,291","21,076",SH,,SOLE,,"19,371",0,"1,705"
ALAMOS GOLD INC,Common Stock,11532108,946,"121,079",SH,,SOLE,,0,0,"121,079"
ALARM COM HLDGS INC COM,Common Stock,11642105,"7,334","84,904",SH,,SOLE,,"68,325",0,"16,579"
ALASKA AIR GROUP INC,Common Stock,11659109,"58,064","838,951",SH,,SOLE,,"647,124",0,"191,827"
ALASKA COMMUNICATIONS SYSTEMS,Common Stock,01167P101,758,"233,222",SH,,SOLE,,"219,160",0,"14,062"
ALBANY INTERNATIONAL CORP,Common Stock,12348108,"5,282","63,284",SH,,SOLE,,"53,838",0,"9,446"
ALBEMARLE CORP,Common Stock,12653101,"35,196","240,886",SH,,SOLE,,"203,761",0,"37,124"
ALBERTSONS COS INC - CLASS A,Common Stock,13091103,"1,657","86,906",SH,,SOLE,,"77,214",0,"9,692"
ALBIREO PHARMA INC,Common Stock,01345P106,"1,772","50,277",SH,,SOLE,,"6,322",0,"43,955"
ALCOA CORP,Common Stock,13872106,"46,473","1,430,371",SH,,SOLE,,"593,026",0,"837,345"
Alcon Inc,Common Stock,H01301128,"49,226","701,423",SH,,SOLE,,"611,479",0,"89,944"
ALDEYRA THERAPEUTICS INC,Common Stock,01438T106,318,"26,769",SH,,SOLE,,"26,362",0,407
ALECTOR INC,Common Stock,14442107,658,"32,683",SH,,SOLE,,"29,014",0,"3,669"
ALEXANDER & BALDWIN INC,REIT,14491104,"4,317","257,105",SH,,SOLE,,"222,660",0,"34,445"
ALEXANDERS INC COM,REIT,14752109,460,"1,658",SH,,SOLE,,"1,592",0,66
ALEXANDRIA REAL ESTATE EQ IN COM REIT,REIT,1.53E+07,"52,064","316,885",SH,,SOLE,,"266,505",0,"50,380"
ALEXION PHARMACEUTICALS INC,Common Stock,15351109,"118,963","777,992",SH,,SOLE,,"473,881",0,"304,111"
ALFA LAVAL AB SWEDEN ADR,ADR,15393101,"20,589","681,740",SH,,SOLE,,"606,634",0,"75,106"
ALGONQUIN POWER & UTILITIES,Common Stock,15857105,"2,029","128,063",SH,,SOLE,,"2,561",0,"125,502"
ALIBABA GROUP HLDG LTD SPONSORED ADS,ADR,01609W102,"163,997","723,316",SH,,SOLE,,"623,048",0,"100,267"
ALICO INC,Common Stock,16230104,591,"19,788",SH,,SOLE,,"19,478",0,310
ALIGN TECHNOLOGY INC,Common Stock,16255101,"154,714","285,698",SH,,SOLE,,"221,087",0,"64,611"
ALKERMES PLC,Common Stock,G01767105,"3,019","161,628",SH,,SOLE,,"103,794",0,"57,834"
ALL NIPPON AWYS LTD SPONSORED ADR,ADR,32350100,88,"18,308",SH,,SOLE,,"13,619",0,"4,689"
ALLAKOS INC,Common Stock,01671P100,"1,112","9,692",SH,,SOLE,,"9,037",0,655
ALLEGHANY CORP,Common Stock,17175100,"17,029","27,191",SH,,SOLE,,"24,227",0,"2,964"
ALLEGHENY TECHNOLOGIES INC,Common Stock,01741R102,"5,638","267,706",SH,,SOLE,,"248,334",0,"19,372"
ALLEGIANCE BANCSHARES INC,Common Stock,01748H107,"1,552","38,276",SH,,SOLE,,"34,153",0,"4,123"
ALLEGIANT TRAVEL CO,Common Stock,01748X102,"16,099","65,962",SH,,SOLE,,"52,356",0,"13,606"
ALLEGION PLC W/I,Common Stock,G0176J109,"35,808","285,054",SH,,SOLE,,"237,849",0,"47,204"
ALLEGRO MICROSYSTEMS INC,Common Stock,01749D105,972,"38,327",SH,,SOLE,,977,0,"37,350"
ALLETE INC,Common Stock,18522300,"18,291","272,226",SH,,SOLE,,"251,715",0,"20,511"
ALLIANCE BERNSTEIN GLOBAL HIGH INC FUND,Closed-End Fund,01879R106,"36,212","3,055,891",SH,,SOLE,,"1,588,403",0,"1,467,488"
ALLIANCE DATA SYSTEMS CORP,Common Stock,18581108,"78,487","700,211",SH,,SOLE,,"397,209",0,"303,003"
ALLIANCEBERNSTEIN NATL COM,Closed-End Fund,01864U106,"40,685","2,857,125",SH,,SOLE,,"1,124,097",0,"1,733,027"
ALLIANT ENERGY CORP,Common Stock,18802108,"47,241","872,246",SH,,SOLE,,"792,684",0,"79,562"
ALLIANZ SE - UNSP ADR,ADR,18820100,"91,117","3,562,035",SH,,SOLE,,"3,131,635",0,"430,399"
ALLIED MOTION TECHNOLOGIES,Common Stock,19330109,242,"4,709",SH,,SOLE,,"4,669",0,40
ALLISON TRANSMISSION H COM,Common Stock,01973R101,"19,564","479,158",SH,,SOLE,,"138,735",0,"340,423"
ALLOGENE THERAPEUTICS INC,Common Stock,19770106,"1,236","35,007",SH,,SOLE,,"32,557",0,"2,450"
ALLSCRIPTS HEALTHCARE SOLUTION,Common Stock,01988P108,"6,969","464,114",SH,,SOLE,,"428,069",0,"36,045"
ALLSTATE CORP/THE,Common Stock,20002101,"179,212","1,559,723",SH,,SOLE,,"1,122,718",0,"437,005"
ALLY FINANCIAL INC,Common Stock,02005N100,"41,072","908,474",SH,,SOLE,,"578,827",0,"329,647"
ALNYLAM PHARMACEUTICALS INC,Common Stock,02043Q107,"25,547","180,942",SH,,SOLE,,"165,228",0,"15,714"
ALPHA & OMEGA SEMICONDUCTOR LT,Common Stock,G6331P104,"2,524","77,196",SH,,SOLE,,"7,397",0,"69,799"
ALPHA METALLURGICAL RESOURCES,Common Stock,20764106,160,"12,653",SH,,SOLE,,"12,361",0,292
Alpha Pro Tech Ltd,Common Stock,20772109,197,"20,203",SH,,SOLE,,"8,743",0,"11,460"
ALPHABET INC - CL A,Common Stock,02079K305,"2,268,508","1,099,872",SH,,SOLE,,"901,179",0,"198,693"
ALPHABET INC - CL C,Common Stock,02079K107,"1,803,226","871,700",SH,,SOLE,,"711,448",0,"160,252"
ALPHATEC HOLDINGS INC,Common Stock,02081G201,"1,937","122,700",SH,,SOLE,,"18,691",0,"104,009"
ALPINE TOTAL DYNAMIC DIVIDEND FUND,Closed-End Fund,00326L100,"103,790","10,890,848",SH,,SOLE,,"7,768,570",0,"3,122,279"
ALPS ELEC LTD ADR,ADR,21090204,217,"7,950",SH,,SOLE,,"6,029",0,"1,921"
ALSTOM ADR,ADR,21244207,"14,082","2,850,660",SH,,SOLE,,"2,616,863",0,"233,797"
ALTABANCORP,Common Stock,21347109,"2,632","62,609",SH,,SOLE,,"37,985",0,"24,624"
ALTAIR ENGINEERING INC,Common Stock,21369103,"1,389","22,206",SH,,SOLE,,"21,593",0,613
ALTERYX INC COM CL A,Common Stock,02156B103,"3,252","39,199",SH,,SOLE,,"37,569",0,"1,630"
ALTICE USA INC CL A,Common Stock,02156K103,"20,435","628,180",SH,,SOLE,,"403,124",0,"225,056"
ALTIMMUNE INC,Common Stock,02155H200,255,"18,062",SH,,SOLE,,"18,062",0,0
ALTO INGREDIENTS INC,Common Stock,21513106,91,"16,773",SH,,SOLE,,"16,773",0,0
ALTRA INDUSTRIAL MOTION CORP,Common Stock,02208R106,"12,809","231,546",SH,,SOLE,,"146,211",0,"85,335"
ALTRIA GROUP INC,Common Stock,02209S103,"351,569","6,871,950",SH,,SOLE,,"4,884,013",0,"1,987,938"
ALUMINA LTD SPONSORED ADR,ADR,22205108,"2,107","398,245",SH,,SOLE,,"384,813",0,"13,432"
ALUMINUM CORP CHINA LTD SPON ADR H SHS,ADR,22276109,"1,641","156,898",SH,,SOLE,,"138,454",0,"18,444"
ALX Oncology Holdings Inc,Common Stock,00166B105,373,"5,059",SH,,SOLE,,"5,059",0,0
AMADEUS IT HLDG S A ADS,ADR,02263T104,"61,222","855,753",SH,,SOLE,,"650,158",0,"205,595"
AMAZON.COM INC,Common Stock,23135106,"4,220,975","1,364,210",SH,,SOLE,,"1,108,707",0,"255,503"
AMBAC FINL GROUP INC COM NEW,Common Stock,23139884,"1,249","74,593",SH,,SOLE,,"69,899",0,"4,694"
AMBARELLA INC SHS,Common Stock,G037AX101,"5,101","50,816",SH,,SOLE,,"33,555",0,"17,261"
AMBEV SA,ADR,02319V103,"7,968","2,908,005",SH,,SOLE,,"2,615,938",0,"292,068"
AMC ENTERTAINMENT HLDS-CL A,Common Stock,00165C104,"1,834","179,656",SH,,SOLE,,"178,349",0,"1,307"
AMC NETWORKS INC A,Common Stock,00164V103,"6,343","119,325",SH,,SOLE,,"92,670",0,"26,655"
AMCOR PLC,Common Stock,G0250X107,"40,366","3,455,977",SH,,SOLE,,"3,033,585",0,"422,391"
AMDOCS LTD,Common Stock,G02602103,"37,116","529,089",SH,,SOLE,,"323,329",0,"205,760"
AMEDISYS INC,Common Stock,23436108,"18,609","70,279",SH,,SOLE,,"49,672",0,"20,607"
AMERCO INC,Common Stock,23586100,"15,411","25,156",SH,,SOLE,,"19,676",0,"5,480"
AMEREN CORP,Common Stock,23608102,"74,999","921,817",SH,,SOLE,,"704,809",0,"217,008"
AMERESCO INC CL A,Common Stock,2.36E+111,"1,524","31,331",SH,,SOLE,,"29,772",0,"1,559"
AMERICA MOVIL S A DE C V SPON ADR L SHS,ADR,02364W105,"4,433","326,458",SH,,SOLE,,"303,534",0,"22,924"
AMERICAN AIRLINES GROUP INC,Common Stock,02376R102,"44,993","1,882,549",SH,,SOLE,,"1,278,432",0,"604,117"
AMERICAN ASSETS TR INC COM REIT,REIT,24013104,"6,093","187,816",SH,,SOLE,,"175,519",0,"12,298"
AMERICAN AXLE & MANUFACTURING,Common Stock,24061103,"5,215","539,824",SH,,SOLE,,"443,460",0,"96,364"
AMERICAN CAMPUS COMMUNITIES REIT,REIT,24835100,"13,078","302,945",SH,,SOLE,,"242,527",0,"60,418"
AMERICAN EAGLE OUTFITTERS INC,Common Stock,2.55E+109,"18,367","628,146",SH,,SOLE,,"210,453",0,"417,693"
AMERICAN ELECTRIC POWER CO INC,Common Stock,25537101,"135,392","1,598,485",SH,,SOLE,,"1,292,694",0,"305,791"
AMERICAN EQUITY INVESTMENT LIF,Common Stock,25676206,"22,360","709,167",SH,,SOLE,,"445,235",0,"263,932"
AMERICAN EXPRESS CO,Common Stock,25816109,"315,199","2,228,498",SH,,SOLE,,"1,863,129",0,"365,369"
AMERICAN FINANCE TRUST INC,REIT,02607T109,845,"86,038",SH,,SOLE,,"70,877",0,"15,161"
AMERICAN FINANCIAL GROUP INC/O,Common Stock,25932104,"33,786","296,110",SH,,SOLE,,"241,397",0,"54,713"
AMERICAN HOMES 4 RENT CLASS A,REIT,02665T306,"19,339","580,063",SH,,SOLE,,"492,538",0,"87,525"
AMERICAN INTERNATIONAL GROUP I,Common Stock,26874784,"170,196","3,683,109",SH,,SOLE,,"2,446,758",0,"1,236,351"
AMERICAN NATIONAL INSURANCE CO,Common Stock,02772A109,"5,752","53,321",SH,,SOLE,,"47,937",0,"5,384"
AMERICAN OUTDOOR BRANDS INC,Common Stock,02875D109,411,"16,324",SH,,SOLE,,"13,492",0,"2,832"
AMERICAN PUBLIC EDUCATION INC,Common Stock,02913V103,"1,194","33,506",SH,,SOLE,,"24,269",0,"9,237"
AMERICAN SOFTWARE INC/GEORGIA,Common Stock,29683109,"2,630","127,048",SH,,SOLE,,"61,618",0,"65,430"
AMERICAN STATES WATER CO,Common Stock,29899101,"11,335","149,901",SH,,SOLE,,"101,236",0,"48,665"
AMERICAN TOWER REIT INC,REIT,03027X100,"372,768","1,559,308",SH,,SOLE,,"1,232,708",0,"326,601"
AMERICAN VANGUARD CORP,Common Stock,30371108,453,"22,173",SH,,SOLE,,"20,202",0,"1,971"
AMERICAN WATER WORKS CO INC,Common Stock,3.04E+07,"85,078","567,489",SH,,SOLE,,"492,231",0,"75,258"
AMERICAN WOODMARK CORP,Common Stock,30506109,"4,768","48,367",SH,,SOLE,,"31,816",0,"16,551"
AMERICA'S CAR-MART INC,Common Stock,03062T105,"3,048","20,003",SH,,SOLE,,"10,619",0,"9,384"
AMERICOLD REALTY TRUST,REIT,03064D108,"8,119","211,037",SH,,SOLE,,"131,578",0,"79,459"
AMERIPRISE FINANCIAL INC,Common Stock,03076C106,"208,898","898,679",SH,,SOLE,,"564,925",0,"333,754"
AMERIS BANCORP,Common Stock,03076K108,"11,477","218,573",SH,,SOLE,,"184,542",0,"34,031"
AMERISAFE INC,Common Stock,03071H100,"3,883","60,678",SH,,SOLE,,"44,557",0,"16,121"
AMERISOURCEBERGEN CORP COM,Common Stock,3.07E+108,"131,236","1,111,506",SH,,SOLE,,"738,232",0,"373,273"
AMETEK INC NEW COM,Common Stock,31100100,"108,276","847,694",SH,,SOLE,,"664,909",0,"182,785"
AMGEN INC,Common Stock,31162100,"774,438","3,112,568",SH,,SOLE,,"2,055,010",0,"1,057,559"
AMICUS THERAPEUTICS COM,Common Stock,03152W109,"2,886","292,129",SH,,SOLE,,"239,734",0,"52,395"
AMKOR TECHNOLOGY INC,Common Stock,31652100,"10,655","449,409",SH,,SOLE,,"223,724",0,"225,685"
AMN HEALTHCARE SERVICES INC,Common Stock,1744101,"18,094","245,505",SH,,SOLE,,"109,396",0,"136,109"
AMNEAL PHARMACEUTICALS INC,Common Stock,03168L105,"2,244","333,498",SH,,SOLE,,"108,493",0,"225,005"
AMP LIMITED,ADR,0017EP202,76,"19,193",SH,,SOLE,,"16,146",0,"3,047"
AMPHASTAR PHARMACEUTICALS,Common Stock,03209R103,"2,024","110,486",SH,,SOLE,,"95,424",0,"15,062"
