NAME OF ISSUER,TITLE OF CLASS,CUSIP,VALUE (x$1000),SHRS OR PRN AMT,SH/PRN,PUT/CALL,INVESTMENT DISCRETION,OTHER MANAGER,SOLE,SHARED,NONE
AFFIMED N V COM,Common Stock,N01045108,"2,538","298,584",SH,,SOLE,,"134,464",0,"164,120"
Affirm Holdings Inc,Common Stock,00827B106,"1,091","16,193",SH,,SOLE,,"15,918",0,275
AFLAC INC,Common Stock,1055102,"149,704","2,789,861",SH,,SOLE,,"1,947,987",0,"841,874"
Afterpay Ltd,ADR,00832J102,"12,905","146,164",SH,,SOLE,,"132,820",0,"13,344"
AFYA LTD-CLASS A,Common Stock,G01125106,654,"25,375",SH,,SOLE,,"25,375",0,0
AG MORTGAGE INVESTMENT TRUST I,REIT,1228501,341,"79,845",SH,,SOLE,,"79,769",0,76
AGC INC ADR,ADR,00109C103,"11,824","1,422,911",SH,,SOLE,,"1,296,883",0,"126,028"
AGCO CORP,Common Stock,1084102,"53,579","410,942",SH,,SOLE,,"150,399",0,"260,543"
AGEAS ADR,ADR,00844W208,"27,573","494,844",SH,,SOLE,,"457,275",0,"37,569"
AGENUS INC,Common Stock,00847G705,"1,080","196,661",SH,,SOLE,,"77,187",0,"119,474"
AGILE THERAPEUTICS INC COM,Common Stock,00847L100,17,"12,959",SH,,SOLE,,"12,443",0,516
AGILENT TECHNOLOGIES INC,Common Stock,00846U101,"172,903","1,169,762",SH,,SOLE,,"1,029,716",0,"140,046"
AGILITI INC,Common Stock,00848J104,888,"40,609",SH,,SOLE,,324,0,"40,285"
AGILYSYS INC,Common Stock,00847J105,"4,029","70,852",SH,,SOLE,,"49,307",0,"21,545"
AGIOS PHARMACEUTICALS INC,Common Stock,00847X104,"7,369","133,712",SH,,SOLE,,"92,009",0,"41,703"
AGL ENERGY LTD-SPON ADR,ADR,1201201,"1,131","179,545",SH,,SOLE,,"137,880",0,"41,665"
AGNC INVESTMENT CORP,REIT,00123Q104,"20,082","1,188,959",SH,,SOLE,,"1,110,876",0,"78,083"
AGNICO-EAGLE MINES LTD,Common Stock,8474108,"11,075","183,217",SH,,SOLE,,"173,953",0,"9,264"
AGORA INC-ADR,ADR,00851L103,323,"7,703",SH,,SOLE,,"6,988",0,715
AGREE REALTY CORP COM REIT,REIT,8492100,"11,341","160,892",SH,,SOLE,,"143,198",0,"17,694"
AGRICULTURAL BK CHINA ADR,ADR,00850M102,"4,514","521,837",SH,,SOLE,,"507,731",0,"14,106"
AGROFRESH SOLUTIONS INC,Common Stock,00856G109,28,"13,416",SH,,SOLE,,"9,683",0,"3,733"
AIA GROUP LTD,Common Stock,Y002A1105,382,"30,739",SH,,SOLE,,"17,056",0,"13,683"
AIA GROUP LTD SPONSORED ADR,ADR,1317205,"167,764","3,373,507",SH,,SOLE,,"2,949,334",0,"424,173"
AIR FRANCE KLM SPONSORED ADR,ADR,9119108,159,"32,253",SH,,SOLE,,"32,253",0,0
AIR LEASE GROUP,Common Stock,00912X302,"10,911","261,410",SH,,SOLE,,"197,369",0,"64,040"
AIR LIQUIDE ADR,ADR,9126202,"80,314","2,285,547",SH,,SOLE,,"1,906,213",0,"379,334"
AIR PRODUCTS & CHEMICALS INC,Common Stock,9158106,"291,650","1,013,801",SH,,SOLE,,"799,390",0,"214,411"
AIR TRANSPORT SERVICES GROUP I,Common Stock,00922R105,640,"27,545",SH,,SOLE,,"22,066",0,"5,479"
AIRBNB INC-CLASS A,Common Stock,9066101,"8,567","55,944",SH,,SOLE,,"50,074",0,"5,870"
AIRBUS GROUP NV,ADR,9279100,"76,304","2,369,679",SH,,SOLE,,"1,844,614",0,"525,065"
AIRPORTS OF THAILAND PCL-ADR,ADR,00950R100,"1,111","55,040",SH,,SOLE,,"49,181",0,"5,859"
AISIN SEIKO CO LTD-UNSP ADR,ADR,00956Q106,248,"5,767",SH,,SOLE,,"4,591",0,"1,176"
AJINOMOTO INC UNSPON ADR,ADR,9707100,"4,802","185,338",SH,,SOLE,,"164,354",0,"20,984"
AKAMAI TECHNOLOGIES INC,Common Stock,00971T101,"74,619","639,956",SH,,SOLE,,"570,011",0,"69,946"
AKBANK TAS - ADR,ADR,9719501,260,"208,225",SH,,SOLE,,"201,320",0,"6,905"
AKEBIA THERAPEUTICS COM,Common Stock,00972D105,479,"126,469",SH,,SOLE,,"91,365",0,"35,104"
AKERNA CORP,Common Stock,00973W102,41,"10,101",SH,,SOLE,,"9,842",0,259
AKERO THERAPEUTICS INC,Common Stock,00973Y108,249,"10,044",SH,,SOLE,,"7,214",0,"2,830"
Akouos Inc,Common Stock,00973J101,680,"54,152",SH,,SOLE,,"52,177",0,"1,975"
AKOUSTIS TECHNOLOGIES INC,Common Stock,00973N102,454,"42,385",SH,,SOLE,,"39,116",0,"3,269"
AKTIEBOLAGETT ELECTROLUX SPONSORED ADR,ADR,10198208,"12,409","223,387",SH,,SOLE,,"197,543",0,"25,844"
AKZO NOBEL NV SPONSORED ADR,ADR,10199503,"30,462","737,397",SH,,SOLE,,"458,362",0,"279,035"
ALAMO GROUP INC,Common Stock,11311107,"3,584","23,473",SH,,SOLE,,"21,656",0,"1,817"
ALAMOS GOLD INC,Common Stock,11532108,921,"120,418",SH,,SOLE,,0,0,"120,418"
ALARM COM HLDGS INC COM,Common Stock,11642105,"8,024","94,735",SH,,SOLE,,"77,969",0,"16,766"
ALASKA AIR GROUP INC,Common Stock,11659109,"50,985","845,378",SH,,SOLE,,"660,576",0,"184,802"
ALASKA COMMUNICATIONS SYSTEMS,Common Stock,01167P101,674,"202,308",SH,,SOLE,,"200,531",0,"1,777"
ALBANY INTERNATIONAL CORP,Common Stock,12348108,"6,096","68,294",SH,,SOLE,,"58,176",0,"10,118"
ALBEMARLE CORP,Common Stock,12653101,"45,242","268,560",SH,,SOLE,,"230,199",0,"38,361"
ALBERTSONS COS INC - CLASS A,Common Stock,13091103,"1,943","98,815",SH,,SOLE,,"92,535",0,"6,280"
ALBIREO PHARMA INC,Common Stock,01345P106,"2,116","60,156",SH,,SOLE,,"5,073",0,"55,083"
ALCOA CORP,Common Stock,13872106,"52,232","1,417,816",SH,,SOLE,,"587,348",0,"830,468"
Alcon Inc,Common Stock,H01301128,"50,333","716,379",SH,,SOLE,,"625,589",0,"90,790"
ALDEYRA THERAPEUTICS INC,Common Stock,01438T106,"1,348","118,940",SH,,SOLE,,"30,240",0,"88,700"
ALECTOR INC,Common Stock,14442107,813,"39,034",SH,,SOLE,,"35,093",0,"3,941"
ALEXANDER & BALDWIN INC,REIT,14491104,"5,003","273,075",SH,,SOLE,,"233,383",0,"39,692"
ALEXANDERS INC COM,REIT,14752109,406,"1,515",SH,,SOLE,,"1,339",0,176
ALEXANDRIA REAL ESTATE EQ IN COM REIT,REIT,15271109,"61,342","337,157",SH,,SOLE,,"287,416",0,"49,741"
ALEXION PHARMACEUTICALS INC,Common Stock,15351109,"142,741","776,990",SH,,SOLE,,"507,437",0,"269,553"
ALFA LAVAL AB SWEDEN ADR,ADR,15393101,"25,659","724,408",SH,,SOLE,,"644,027",0,"80,381"
ALGONQUIN POWER & UTILITIES,Common Stock,15857105,"1,952","131,197",SH,,SOLE,,"3,643",0,"127,554"
ALIBABA GROUP HLDG LTD SPONSORED ADS,ADR,01609W102,"184,915","815,394",SH,,SOLE,,"710,790",0,"104,603"
ALICO INC,Common Stock,16230104,744,"20,908",SH,,SOLE,,"20,849",0,59
ALIGN TECHNOLOGY INC,Common Stock,16255101,"182,362","298,465",SH,,SOLE,,"238,681",0,"59,784"
ALKERMES PLC,Common Stock,G01767105,"3,927","160,167",SH,,SOLE,,"114,137",0,"46,030"
ALL NIPPON AWYS LTD SPONSORED ADR,ADR,32350100,85,"17,895",SH,,SOLE,,"13,619",0,"4,276"
ALLAKOS INC,Common Stock,01671P100,824,"9,657",SH,,SOLE,,"9,004",0,653
ALLEGHANY CORP,Common Stock,17175100,"18,432","27,632",SH,,SOLE,,"24,590",0,"3,042"
ALLEGHENY TECHNOLOGIES INC,Common Stock,01741R102,"6,035","289,440",SH,,SOLE,,"268,964",0,"20,476"
ALLEGIANCE BANCSHARES INC,Common Stock,01748H107,"1,589","41,339",SH,,SOLE,,"36,987",0,"4,352"
ALLEGIANT TRAVEL CO,Common Stock,01748X102,"11,593","59,759",SH,,SOLE,,"51,136",0,"8,623"
ALLEGION PLC W/I,Common Stock,G0176J109,"41,584","298,519",SH,,SOLE,,"256,322",0,"42,196"
ALLEGRO MICROSYSTEMS INC,Common Stock,01749D105,"1,032","37,268",SH,,SOLE,,"6,170",0,"31,098"
ALLETE INC,Common Stock,18522300,"18,809","268,775",SH,,SOLE,,"262,749",0,"6,026"
ALLIANCE BERNSTEIN GLOBAL HIGH INC FUND,Closed-End Fund,01879R106,"22,884","1,829,284",SH,,SOLE,,"390,808",0,"1,438,476"
ALLIANCE DATA SYSTEMS CORP,Common Stock,18581108,"87,228","837,200",SH,,SOLE,,"430,331",0,"406,869"
ALLIANCEBERNSTEIN NATL COM,Closed-End Fund,01864U106,"29,264","1,922,753",SH,,SOLE,,"304,242",0,"1,618,512"
ALLIANT ENERGY CORP,Common Stock,18802108,"52,486","941,276",SH,,SOLE,,"856,452",0,"84,823"
ALLIANZ SE - UNSP ADR,ADR,18820100,"98,636","3,947,030",SH,,SOLE,,"3,486,628",0,"460,402"
ALLIED MOTION TECHNOLOGIES,Common Stock,19330109,260,"7,542",SH,,SOLE,,"7,424",0,117
ALLISON TRANSMISSION H COM,Common Stock,01973R101,"14,664","368,992",SH,,SOLE,,"138,368",0,"230,624"
ALLOGENE THERAPEUTICS INC,Common Stock,19770106,"1,321","50,633",SH,,SOLE,,"48,030",0,"2,603"
ALLOVIR INC,Common Stock,19818103,255,"12,910",SH,,SOLE,,"12,910",0,0
ALLSCRIPTS HEALTHCARE SOLUTION,Common Stock,01988P108,"8,767","473,626",SH,,SOLE,,"431,232",0,"42,394"
ALLSTATE CORP/THE,Common Stock,20002101,"210,492","1,613,707",SH,,SOLE,,"1,174,589",0,"439,118"
ALLY FINANCIAL INC,Common Stock,02005N100,"50,378","1,010,790",SH,,SOLE,,"621,649",0,"389,141"
ALNYLAM PHARMACEUTICALS INC,Common Stock,02043Q107,"33,681","198,684",SH,,SOLE,,"182,102",0,"16,582"
ALPHA & OMEGA SEMICONDUCTOR LT,Common Stock,G6331P104,"3,103","102,108",SH,,SOLE,,"8,179",0,"93,929"
ALPHA METALLURGICAL RESOURCES,Common Stock,20764106,245,"9,549",SH,,SOLE,,"9,549",0,0
Alpha Pro Tech Ltd,Common Stock,20772109,146,"17,043",SH,,SOLE,,"3,144",0,"13,899"
ALPHABET INC - CL A,Common Stock,02079K305,"2,751,289","1,126,751",SH,,SOLE,,"923,313",0,"203,438"
ALPHABET INC - CL C,Common Stock,02079K107,"2,253,404","899,089",SH,,SOLE,,"735,915",0,"163,174"
ALPHATEC HOLDINGS INC,Common Stock,02081G201,223,"14,542",SH,,SOLE,,"14,431",0,111
ALPINE TOTAL DYNAMIC DIVIDEND FUND,Closed-End Fund,00326L100,"51,749","5,088,381",SH,,SOLE,,"1,864,055",0,"3,224,325"
ALSTOM ADR,ADR,21244207,"22,700","4,521,998",SH,,SOLE,,"3,430,718",0,"1,091,280"
ALTABANCORP,Common Stock,21347109,"2,856","65,938",SH,,SOLE,,"41,171",0,"24,768"
ALTAIR ENGINEERING INC,Common Stock,21369103,"1,611","23,356",SH,,SOLE,,"22,721",0,635
ALTERYX INC COM CL A,Common Stock,02156B103,"7,636","88,767",SH,,SOLE,,"84,956",0,"3,811"
ALTICE USA INC CL A,Common Stock,02156K103,"21,221","621,587",SH,,SOLE,,"406,702",0,"214,885"
ALTIMMUNE INC,Common Stock,02155H200,234,"23,781",SH,,SOLE,,"23,305",0,476
ALTO INGREDIENTS INC,Common Stock,21513106,154,"25,136",SH,,SOLE,,"18,371",0,"6,765"
ALTRA INDUSTRIAL MOTION CORP,Common Stock,02208R106,"15,592","239,802",SH,,SOLE,,"150,955",0,"88,847"
ALTRIA GROUP INC,Common Stock,02209S103,"334,586","7,017,328",SH,,SOLE,,"5,036,740",0,"1,980,588"
ALTUS MIDSTREAM CO -A,Common Stock,02215L209,483,"7,151",SH,,SOLE,,"6,176",0,975
ALUMINA LTD SPONSORED ADR,ADR,22205108,"1,936","396,649",SH,,SOLE,,"384,369",0,"12,280"
ALUMINUM CORP CHINA LTD SPON ADR H SHS,ADR,22276109,"2,223","150,280",SH,,SOLE,,"133,870",0,"16,410"
ALX Oncology Holdings Inc,Common Stock,00166B105,351,"6,422",SH,,SOLE,,"6,195",0,227
AMADEUS IT HLDG S A ADS,ADR,02263T104,"66,113","935,781",SH,,SOLE,,"705,138",0,"230,643"
AMAZON.COM INC,Common Stock,23135106,"4,857,480","1,411,992",SH,,SOLE,,"1,152,854",0,"259,138"
AMBAC FINL GROUP INC COM NEW,Common Stock,23139884,"1,300","83,010",SH,,SOLE,,"77,465",0,"5,545"
AMBARELLA INC SHS,Common Stock,G037AX101,"4,086","38,320",SH,,SOLE,,"36,265",0,"2,055"
AMBEV SA,ADR,02319V103,"10,238","2,976,214",SH,,SOLE,,"2,689,125",0,"287,089"
AMC ENTERTAINMENT HLDS-CL A,Common Stock,00165C104,"17,795","313,957",SH,,SOLE,,"290,545",0,"23,412"
AMC NETWORKS INC A,Common Stock,00164V103,"8,416","125,995",SH,,SOLE,,"92,495",0,"33,500"
AMCOR PLC,Common Stock,G0250X107,"41,637","3,633,247",SH,,SOLE,,"3,184,274",0,"448,973"
AMDOCS LTD,Common Stock,G02602103,"42,176","545,194",SH,,SOLE,,"339,299",0,"205,895"
AMEDISYS INC,Common Stock,23436108,"17,002","69,414",SH,,SOLE,,"50,904",0,"18,510"
AMERCO INC,Common Stock,23586100,"13,322","22,602",SH,,SOLE,,"21,193",0,"1,409"
AMEREN CORP,Common Stock,23608102,"75,724","946,075",SH,,SOLE,,"733,776",0,"212,299"
AMERESCO INC CL A,Common Stock,2.36E+111,"2,926","46,647",SH,,SOLE,,"45,284",0,"1,363"
AMERICA MOVIL S A DE C V SPON ADR L SHS,ADR,02364W105,"5,062","337,458",SH,,SOLE,,"315,927",0,"21,530"
AMERICAN AIRLINES GROUP INC,Common Stock,02376R102,"82,901","3,908,562",SH,,SOLE,,"1,880,941",0,"2,027,621"
AMERICAN ASSETS TR INC COM REIT,REIT,24013104,"7,360","197,368",SH,,SOLE,,"184,156",0,"13,212"
AMERICAN AXLE & MANUFACTURING,Common Stock,24061103,"6,006","580,314",SH,,SOLE,,"475,300",0,"105,014"
AMERICAN CAMPUS COMMUNITIES REIT,REIT,24835100,"16,261","348,056",SH,,SOLE,,"283,914",0,"64,142"
AMERICAN EAGLE OUTFITTERS INC,Common Stock,2.55E+109,"22,552","600,909",SH,,SOLE,,"214,312",0,"386,597"
AMERICAN ELECTRIC POWER CO INC,Common Stock,25537101,"136,081","1,608,717",SH,,SOLE,,"1,343,098",0,"265,619"
AMERICAN EQUITY INVESTMENT LIF,Common Stock,25676206,"23,822","737,072",SH,,SOLE,,"454,464",0,"282,608"
AMERICAN EXPRESS CO,Common Stock,25816109,"390,921","2,365,918",SH,,SOLE,,"1,948,579",0,"417,339"
AMERICAN FINANCE TRUST INC,REIT,02607T109,"1,120","132,092",SH,,SOLE,,"116,826",0,"15,266"
AMERICAN FINANCIAL GROUP INC/O,Common Stock,25932104,"40,014","320,834",SH,,SOLE,,"244,702",0,"76,133"
AMERICAN HOMES 4 RENT CLASS A,REIT,02665T306,"26,372","678,807",SH,,SOLE,,"590,169",0,"88,638"
AMERICAN INTERNATIONAL GROUP I,Common Stock,26874784,"188,463","3,959,310",SH,,SOLE,,"2,611,171",0,"1,348,139"
AMERICAN NATIONAL INSURANCE CO,Common Stock,02772A109,"8,150","54,862",SH,,SOLE,,"45,180",0,"9,682"
AMERICAN OUTDOOR BRANDS INC,Common Stock,02875D109,450,"12,803",SH,,SOLE,,"10,775",0,"2,028"
AMERICAN PUBLIC EDUCATION INC,Common Stock,02913V103,"1,033","36,459",SH,,SOLE,,"25,478",0,"10,981"
AMERICAN SOFTWARE INC/GEORGIA,Common Stock,29683109,"3,293","149,966",SH,,SOLE,,"68,121",0,"81,845"
AMERICAN STATES WATER CO,Common Stock,29899101,"9,670","121,549",SH,,SOLE,,"111,913",0,"9,636"
AMERICAN SUPERCONDUCTOR CORP,Common Stock,30111207,632,"36,365",SH,,SOLE,,"35,640",0,725
AMERICAN TOWER REIT INC,REIT,03027X100,"444,431","1,645,187",SH,,SOLE,,"1,294,451",0,"350,736"
AMERICAN VANGUARD CORP,Common Stock,30371108,389,"22,208",SH,,SOLE,,"20,348",0,"1,860"
AMERICAN WATER WORKS CO INC,Common Stock,30420103,"93,699","607,924",SH,,SOLE,,"528,402",0,"79,522"
American Well Corp,Common Stock,03044L105,"4,058","322,614",SH,,SOLE,,"304,898",0,"17,716"
